PanelSetupAGRCode			รหัสกลุ่มกิจกรรม
PanelSetupAGRType			ประเภทของกลุ่มกิจกรรม
PanelSetupAgeSurvey			การสำรวจตามช่วงอายุ
PanelSetupCheckHealthYearActivity	กิจกรรมการตรวจสุขภาพประจำปี
PanelSetupCompanyType		ประเภทของสถานประกอบการ
PanelSetupDisease				รายการโรค
PanelSetupEpi					รายการวัคซีน
PanelSetupFamilyPlaning			ยาและเวชคุมกำเนิด
PanelSetupMaim				กลุ่มความพิการ
PanelSetupMarketType			ประเภทของตลาด
PanelSetupMarketTypeLock		ประเภทแผงของอาหาร
PanelSetupPetType				สัตร์เลี้ยงภายในบ้าน
PanelSetupResource			ทรัพยากร
PanelSetupSchoolClass			ระดับชั้นของสถานศึกษา
PanelSetupServiceType			ประเภทการให้คำปรึกษา
PanelSetupSurvey				หัวข้อสำรวจ
PanelSetupTempleType			ประเภทของศาสนสถาน
PanelSetupVillageLocation		เขตที่ตั้งของหมู่บ้าน
PanelSetupWaterType			ประเภทของแหล่งน้ำ
PenelSetupTemplePersonel		ประเภทบุคลประจำศาสนสถาน
