code,eng,thai
A00,Cholerao,อหิวาตกโรค
A000,"Cholera due to Vibrio cholerae, biovar cholerae",อหิวาตกโรคจากเชื้อ วิบริโอ คอเลเร โอ หนึ่ง ไบโอวาร์ คอเลเร
A001,"Cholera due to Vibrio cholerae, biovar eltor",อหิวาตกโรคจากเชื้อ วิบริโอ คอเลเร โอ หนึ่ง ไบโอวาร์ เอลทอร์
A009,Cholera unspecified,อหิวาตกโรค ที่มิได้ระบุรายละเอียด
A01,Typhoid and paratyphoid fevers,ไข้รากสาดน้อย(ไทฟอยด์)และไข้รากสาดเทียม(พาราไทฟอยด์)
A010,Typhoid fever,ไร้รากสาดน้อย(ไทฟอยด์)
A011,Paratyphoid fever A,ไข้รากสาดเทียม(พาราไทฟอยด์)เอ
A012,Paratyphoid fever B,ไข้รากสาดเทียม(พาราไทฟอยด์)บี
A013,Paratyphoid fever C,ไข้รากสาดเทียม(พาราไทฟอยด์)ซี
A014,Paratyphoid fever unspecified,ไข้รากสาดเทียม(พาราไทฟอยด์)ที่มิได้ระบุรายละเอียด
A02,Other salmonella infections,การติดเชื้อซัลโมเนลลาอื่น
A020,Salmonella enteritis,ลำไส้อักเสบจากเชื้อซัลโมเนลลา
A021,Salmonella septicaemia,โลหิตเป็นพิษจากเชื้อซัลโมเนลลา
A022,Localized salmonella infections,โรคติดเชื้อซัลโมเนลลาเฉพาะที่
A028,Other specified salmonella infections,การติดเชื้อซัลโมเนลลาอื่นที่ระบุรายละเอียด
A029,Salmonella infection unspecified,การติดเชื้อซัลโมเนลลาอื่นที่มิได้ระบุรายละเอียด
A03,Shigellosis,โรคบิด จากเชื้อชิเกลลา
A030,Shigellosis due to Shigella dysenteriae,โรคบิด จากเชื้อชิเกลลา ดิสเซนเทอรี
A031,Shigellosis due to Shigella flexneri,โรคบิด จากเชื้อชิเกลลา เฟล็กเนอริ
A032,Shigellosis due to Shigella boydii,โรคบิด จากเชื้อชิเกลลา บอยดี
A033,Shigellosis due to Shigella sonnei,โรคบิด จากเชื้อชิเกลลา ซอนนี
A038,Other shigellosis,โรคบิด จากเชื้อชิเกลลาอื่น
A039,Shigellosis unspecified,โรคบิด จากเชื้อชิเกลลา ที่มิได้ระบุรายละเอียด
A04,Other bacterial intestinal infections,ลำไส้ติดเชื้อแบคทีเรียอื่น
A040,Enteropathogenic Escherichia coli infection,การติดเชื้อเอสเคอริเคียโคไล ชนิด ทำให้เกิดพยาธิสภาพที่ลำไส้
A041,Enterotoxigenic Escherichia coli infection,การติดเชื้อเอสเคอริเคียโคไล ชนิด สร้างสารพิษต่อลำไส้
A042,Enteroinvasive Escherichia coli infection,การติดเชื้อเอสเคอริเคียโคไล ชนิด แทรกผ่านลำไส้ได้
A043,Enterohaemorrhagic Escherichia coli infection,การติดเชื้อเอสเคอริเคียโคไล ชนิด ทำให้เลือดออกในลำไส้
A044,Other intestinal Escherichia coli infections,การติดเชื้อเอสเคอริเคียโคไล ที่ลำไส้ชนิดอื่น
A045,Campylobacter enteritis,ลำไส้เล็กอักเสบจากเชื้อแคมไพโลแบคเตอร์
A046,Enteritis due to Yersinia enterocolitica,ลำไส้อักเสบจากเชื้อเยอร์ซีเนีย เอ็นเทอโรโคไลติกา
A047,Enterocolitis due to Clostridium difficile,ลำไส้เล็กและลำไส้ใหญ่อักเสบจากเชื้อ คลอสตริเดียม ดิฟฟิวซิล
A048,Other specified bacterial intestinal infections,การติดเชื้อแบคทีเรียที่ลำไส้ ที่ระบุรายละเอียดอื่น
A049,Bacterial intestinal infection unspecified,การติดเชื้อแบคทีเรียที่ลำไส้ ที่มิได้ระบุรายละเอียดอื่น
A05,Other bacterial foodborne intoxications,อาหารเป็นพิษจากเชื้อแบคทีเรียอื่น
A050,Foodborne staphylococcal intoxication,อาหารเป็นพิษจากเชื้อ สแต็ฟฟิลโลคอคคัส
A051,Botulism,โบทิวลิสซึม
A052,Foodborne Clostridium perfringens [Clostridium welchii],อาหารเป็นพิษจากเชื้อคลอสตริเดียม เปอร์ฟริงเจมส์(คลอสตริเดียม เวลซิไอ)
A053,Foodborne Vibrio parahaemolyticus intoxication,อาหารเป็นพิษจากเชื้อ วิบริโอ พาราฮีโมลัยติคัส
A054,Foodborne Bacillus cereus intoxication,อาหารเป็นพิษจากเชื้อ แบซิลลัส ซีเรียส
A058,Other specified bacterial foodborne intoxications,อาหารเป็นพิษจากเชื้อ แบคทีเรีย ที่ระบุรายละเอียดอื่น
A059,Bacterial foodborne intoxication unspecified,อาหารเป็นพิษจากเชื้อแบคทีเรีย ที่มิได้ระบุรายละเอียด
A06,Amoebiasis,โรคบิดมีตัว
A060,Acute amoebic dysentery,โรคบิดมีตัวเฉียบพลัน
